Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-10-04 10:20:14,false,"Fairfax County Running","0.16","12","00:00:55.9","160","173","179","244","5:51","5:18","19","--","1.54","0.0","158","--","No","00:00:55.9","1","00:00:55.9","00:00:55.9","333","358"
Walking,2025-10-04 10:18:25,false,"Fairfax County Walking","0.09","13","00:01:10.8","142","150","120","124","13:18","10:16","--","--","1.01","0.0","186","--","No","00:01:10.8","1","00:01:10.8","00:01:10.8","313","326"
Running,2025-10-04 09:32:13,false,"Fairfax County Running","6.27","604","00:45:11","167","180","162","175","7:12","5:52","198","239","1.38","0.0","7,322","-20","No","00:01:42.4","7","00:45:08","00:45:11","312","394"
Walking,2025-10-02 09:30:42,false,"Fairfax County Walking","0.21","38","00:03:38.8","133","153","109","173","17:38","7:06","23","--","0.84","0.0","402","-1","No","00:03:38.8","1","00:03:38.8","00:03:38.8","315","358"
Running,2025-10-02 08:43:05,false,"Fairfax County Running","6.29","600","00:46:37","162","175","160","225","7:25","5:43","217","249","1.35","0.0","7,540","-17","No","00:01:48.4","7","00:46:13","00:46:37","315","394"
Running,2025-09-30 09:43:04,false,"Fairfax County Running","0.28","28","00:02:04.6","168","177","155","173","7:20","6:02","23","12","1.42","0.0","332","-1","No","00:02:04.6","1","00:02:02","00:02:04.6","312","358"
Running,2025-09-30 08:55:56,false,"Fairfax County Running","6.25","602","00:46:27","163","179","162","234","7:26","6:06","265","282","1.33","0.0","7,508","-18","No","00:01:34.7","7","00:46:25","00:46:27","305","394"
Running,2025-09-28 09:06:43,false,"Fairfax County Running","5.01","498","00:37:16","167","182","161","174","7:26","6:21","191","201","1.34","0.0","5,974","-16","No","00:00:03.7","6","00:37:15","00:37:16","316","394"
Running,2025-09-26 09:09:32,false,"Fairfax County Running","0.44","39","00:03:00.2","161","178","161","188","6:52","5:38","--","--","1.45","0.0","500","-1","No","00:03:00.2","1","00:03:00","00:03:00.2","348","365"
Walking,2025-09-26 09:08:24,false,"Fairfax County Walking","0.05","9","00:00:54.1","126","130","85","124","18:31","17:01","--","--","1.04","0.0","102","--","No","00:00:04.0","2","00:00:49","00:00:54.1","356","358"
Running,2025-09-26 08:35:01,false,"Fairfax County Running","4.12","405","00:30:56","163","180","160","188","7:31","6:18","185","185","1.34","0.0","4,960","-12","No","00:01:02.0","5","00:30:52","00:30:56","305","394"
Running,2025-09-24 08:31:06,false,"Fairfax County Running","3.70","362","00:27:34","163","185","161","187","7:27","4:32","152","153","1.34","0.0","4,428","-10","No","00:05:08.4","4","00:27:34","00:27:34","313","394"
Running,2025-09-22 09:30:37,false,"Fairfax County Running","3.21","307","00:23:19","164","181","162","179","7:16","5:57","109","122","1.37","0.0","3,778","-9","No","00:01:25.6","4","00:23:17","00:23:19","313","394"
